Country,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy at 60,Premature deaths from non-communicable diseases,Suicide rate,Outdoor air pollution attributable deaths,Wastewater treatment,Biodiversity and habitat,Greenhouse gas emissions,Political rights,Freedom of expression,Freedom of assembly,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Globally ranked universities,Percentage of tertiary students enrolled in globally ranked universities,Depth of food deficit - capped,Adult literacy rate - capped,Secondary school enrollment - capped,Gender parity in secondary enrollment - difference from parity,Mobile telephone subscriptions - capped,Greenhouse gas emissions - capped,Globally ranked universities - bucketed,Percentage of tertiary students enrolled in globally ranked universities - bucketed,Income group
Afghanistan,72.74,29.33,22.92,45.63,53.37,47.61,29.37,21.64,37.4,38.97,22.25,6.73,26.8,173,396.14,91.1,183.61,12.17,46.98,31.85,0.41,43,2.444782609,251.92,6.6,5,5,4.5,15.5,38.17,85.13,55.64,0.56,61.58,8.26,37.75,15.98,1442.5,10.21,232.48,0,21.25,544.79,10,6,0.6,23.38709677,0.45,2,0.17,44.9,15,0.41,0.08,8.6,1,0.55,0.28,0.98,0.45,0,0,173,38.17,55.64,0.44,61.58,544.79,0,0,Low income
Albania,98.17,90.69,80.45,72.82,95.99,78.81,74.99,63.62,60.53,54.87,48.6,32.16,5,8,28.6,14,17.16,81.97,95.23,93.23,0.69,100,4.45,21.76,4,3,3,2,15.1,97.55,98.96,95.77,0.94,106.38,63.25,29.92,21.58,340.6,5.26,42.89,5.14,54.12,257.69,28,13,0.56,35,0.72,4,0.07,26.9,39,0.53,0.11,4.7,4,0.62,0.07,12.26,0.12,0,0,8,97.55,95.77,0.06,100,257.69,0,0,Upper middle income
Algeria,95.01,81.23,70.58,65.77,93.31,67.65,77.81,69.59,36.21,60.11,38.58,29,5,20,139.62,25.5,45.23,77.01,81.8,87.6,0.17,100,4.04,0.37,1.5,2,4,3,23.8,79.61,98.82,99.86,1.04,106.38,38.2,41.69,21.83,307.4,2.75,46.33,45.09,61.62,380.96,11,7,0.588857143,25,0.56,2,0.02,74.9,34,0.49,0.21,7.9,2,0.74,0.46,7.74,0.162926829,1,0.03,20,79.61,99.86,0.04,100,380.96,1,1,Upper middle income
American Samoa,94.30555556,85.77,74.66829268,64.90926829,91.84930233,69.16829787,65.31884615,63.09666667,53.034,60.9365,49.3155,41.95813953,7.922222222,45.17777778,68.1994,20.63773585,56.84,92.31,100,62.46,0.441219512,59.33,4.323421053,7.63,9.451851852,3.05952381,3.476190476,2.80952381,17.95882353,94.1487234,94.47297872,90.56428571,1.036938776,111.5762963,48.57055556,38.39583333,19.76388889,451.4403846,6.67,6.05,40.98,71.5248,583.6268627,22.49090909,10.47272727,0.588857143,34.3,0.7255,3,0.106,64.16078431,38.75510204,0.54195122,0.241081081,6.579166667,3.185185185,0.82195122,0.491081081,11.14692308,0.162926829,0,0,45.35555556,94.02212766,88.7244898,0.065102041,90.70759259,533.1368627,0,0,Upper middle income
Andorra,98.78702128,100,85.8374,84.57826087,96.47425926,87.42,86.21,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,2.8,19.81,100,100,100,0.5088,100,6.023333333,0,0,1.670212766,2.553191489,1.489361702,7.6,97.36388889,96.93701754,106.1520968,1.007868852,88.12,96.91,19.87,25.27,154,6.96,12.53,77.37,85.33777778,390.9864815,39,15,0.785789474,69.81818182,0.805294118,4,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,4,0.8948,0.883846154,15.13,0.066976744,0,0,8,97.19527778,96.92709677,0.047868852,88.12,390.9864815,0,0,High income
Angola,69.33,27.63,28.49,52.04,60.59,47.64,46.1,40.7,28.28,27.26,46.7,13.96,14.2,90,476.98,156.9,423.44,14.84,28.17,51.59,0.19,37,1.71,173.25,9.8,3,5,3.5,26.9,71.16,87.86,28.9,0.65,60.84,12.4,39.89,15.75,741.1,16.99,109.31,0,53.54,995.89,10,5,0.574285714,15,0.34,3,0.36,31.6,18,0.56,0.13,7.7,4,0.75,0.339375,5.31,0.35,0,0,90,71.16,28.9,0.35,60.84,995.89,0,0,Lower middle income
Antigua and Barbuda,98.78702128,92.35,85.8374,84.57826087,95.21,82.8,76.76,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,8.1,57.04,85.69,97.87,91.43,0.5088,90.88,6.023333333,2.53,11.2,1.670212766,2.553191489,1.489361702,6.7,98.95,91.31,102.71,1.02,137.22,65.2,20.81,21.7,346.2,2.15,28.27,64.73425926,77.19,620.04,33,15,0.65,69.81818182,0.805294118,4,0.034081633,78,64.65454545,0.651,0.574888889,3.9,4,0.8948,0.883846154,14.47,0.066976744,0,0,11.61818182,98.95,100,0.02,100,620.04,0,0,High income
Argentina,97.34,98.32,67.25,63.92,97.23,82.29,70.57,67.54,67.51,67.52,72.42,58.88,5,2,52.39,12.5,72.74,98.24,99.95,96.36,0.3,99.8,2.7,1.62,7.6,3,4,3,13.6,98.09,99.8,106.78,1.07,146.7,69.4,25.09,21.47,365.9,11.48,34.29,7.67,69.72,390.9864815,33,14,0.78,15,0.82,3,0.13,83.8,36,0.74,0.61,4.7,4,0.87,0.3,13,0.08,20,0.23,8,98.09,100,0.07,100,390.9864815,6,4,High income
Armenia,96.85,96.42,77.71,72.32,95.69,77.91,66.12,66.26,43.06,49.32,39.84,46.58,5.8,41,25.33,14.1,19.51,99.33,100,89.5,0.38,100,4.78,4.5,2,2,3,3,18.3,99.77,96.42,88.5,1.01,115.89,58.25,28.79,19.61,481.9,7.28,62.05,11.49,87.43,393.71,16,9,0.588857143,20,0.55,2,0.08,42.7,33,0.53,0.02,5.6,2,0.69,0.88,13.1,0.04,0,0,41,99,88.5,0.01,100,393.71,0,0,Upper middle income
Aruba,98.78702128,96.61,85.8374,84.57826087,98.99,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.58,98.09,97.66,0.5088,90.88,6.023333333,1.558852459,3.9,1.670212766,2.553191489,1.489361702,8.170344828,97.52,99.94,111.17,1.02,135.72,88.66,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.52,100,0.02,100,390.9864815,0,0,High income
